id,pattern,meaning_zh,notes
1,〜いかんだ,取决于…/看…情况,名词＋の＋いかんだ；书面硬
2,〜いかんによらず,不论…如何,固定搭配；相当于を問わず
3,〜いかんにかかわらず,不管…/无论…,同上
4,〜いかんでは,在某些情况下…,后项变化; 多政经文体
5,〜（よ）うが〜まいが,不管…是否…,二者对立; 书面硬
6,〜（よ）うと（も）,即使…也…,逆接让步; 强硬
7,〜（よ）うにも〜ない,想…也不能…,可能受限
8,〜かたがた,顺便…,名词＋かたがた；寒暄/公告常用
9,〜かたわら,一边…一边…,书面；同时进行
10,〜がてら,顺便…,动词ます形/名词＋がてら
11,〜が早いか,刚一…就…,书面; 观察叙述
12,〜きらいがある,有…倾向,多用于负面评价
13,〜極まりない,极其…,na/い形容词词干＋極まりない
14,〜極まる,非常…,名词化抽象; 正式
15,〜ごとき,如同…一样,旧式；轻蔑或比喻
16,〜こととて,因为…,书面，带歉意/无法避免
17,〜ことなしに,不…就…,必须前提
18,〜ことのないよう,为了不要…,祈使性
19,〜こともあって,也因为…,并列原因
20,〜ずくめ,尽是…/全…,名词接续; 吉事/黑白等
21,〜ずにはおかない,一定会…,话者强烈断定
22,〜ずにはすまない,不…说不过去/非…不可,社会规范/道德压力
23,〜そばから,刚…就…,反复发生
24,〜ただ〜のみ,唯有…/只是…,强调限定
25,〜たところで,即使…也…,多否定; 无效感
26,〜たりとも,即便…也…,最小单位；后接否定
27,〜だに,连…都…,强烈愿望/恐惧（古风）
28,〜ついでに,顺便…,口语常用
29,〜っぱなし,放任不管…,负面评价
30,〜てからというもの,自从…以来一直…,状态延续
31,〜てまで,甚至…也要…,超常行为
32,〜てやまない,衷心地一直…,愿望/祈愿固定搭配
33,〜ではあるまいし,又不是…,反驳/劝诫
34,〜ではすまない,不能了事/没法交代,社会/法律责任
35,〜とあって,因为…（特殊事由）,新闻文体常见
36,〜とあれば,如果是…（特殊条件）,意志
37,〜といい〜といい,无论…还是…,就评价
38,〜というところだ,不过是…/大概…,程度限定
39,〜といえども,即便…也…,书面强硬
40,〜といったところだ,大致是…,概数/程度
41,〜とばかりに,仿佛在…,描写态度
42,〜ともなると,一到…时/一旦…,条件转换
43,〜ないではおかない,一定会…,同ずにはおかない
44,〜ないではすまない,不…就说不过去,同ずにはすまない
45,〜ないまでも,即便不到…也…,让步
46,〜ながらに,保持…状态,名词/ます形词干
47,〜ながらも,尽管…却…,逆接
48,〜なくして,没有…就…,后项否定
49,〜なしに,没有…/不…就…,同上
50,〜なり,刚一…就…,文语风
51,〜なりに,以…自己的方式,相応の
52,〜にあって,在…情况下/时期,书面
53,〜に至って,直到…才…,转折点
54,〜に至っては,说到…就…,举极端例
55,〜に至る,至于/达到…,结果
56,〜にかかわる,关系到…,多严肃名词
57,〜に即して,依据…/按照…,书面
58,〜に耐える,值得…/能承受…,多审美/批评
59,〜に足る,足以…/值得…,評価
60,〜に照らして,对照…/按照…,判断标准
61,〜にとどまらず,不只…还…,范围扩大
62,〜にひきかえ,与…相反,强对比
63,〜にまつわる,与…相关,叙述/话题
64,〜にもまして,比…更…,程度加强
65,〜の至り,…之极,名词化慣用
66,〜の極み,…之极,同上（更强）
67,〜はおろか,别说…/更不用说…,递进
68,〜ばこそ,正因为…,理由强调
69,〜ばそれまでだ,如果…那就完了,无可奈何
70,〜ば〜で,如果…就按那样…,让步处理
71,〜ばやい,巴不得…（古风愿望）,现代多在固定句
72,〜ひとつ〜ない,连…都没有,极端否定
73,〜ぶる,装作…,多贬义
74,〜べからず,禁止…,看板/规章
75,〜べからざる,不容…/绝对不…,书面
76,〜べく,为了…/打算…,文语; に替换
77,〜まじき,不该…,道德判断
78,〜までだ,只好…/不过…,选择受限
79,〜までもない,用不着…,程度轻
80,〜まみれ,满是…（脏污/负面）,后接名词
81,〜めく,带有…的样子,季节/神秘
82,〜もさることながら,…也固然…但…,递进对比
83,〜ものなら,要是能…的话…,难实现的愿望
84,〜ものともせず,不顾…,克服障碍
85,〜ものを,要是…就好了（遗憾）,后项多抱怨
86,〜や否や,一…就…,书面
87,〜ゆえ（に）,由于…/因此…,书面公文
88,〜をおいてほかに…ない,除了…没有…,唯一性
89,〜をかわきりに,以…为开端,从…开始
90,〜を禁じ得ない,不禁…,感情不由自主
91,〜を皮切りに,以…为先声/开端,同かわきり
92,〜を前提として,以…为前提,逻辑/条件
93,〜を踏まえて,立足于…/基于…,总结判断
94,〜を余儀なくされる,被迫…,多被动
95,〜を余儀なくする,迫使…,使役
96,〜をよそに,不顾…,无视他意
97,〜を経て,经过…,时间/过程
98,〜を機に,以…为契机,转机
99,〜をめぐって,围绕…,争议/话题
100,〜んがため（に）,为了…,意志强(古风)