id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
601,類推,るいすい,verb-noun,类推,音,漢語（多く音読み）と推定
602,累加,るいか,verb-noun,累加,音,漢語（多く音読み）と推定
603,冷遇,れいぐう,verb-noun,冷遇,音,漢語（多く音読み）と推定
604,零落,れいらく,verb-noun,衰落,音,漢語（多く音読み）と推定
605,労災,ろうさい,noun,工伤,音,漢語（多く音読み）と推定
606,朗々,ろうろう,adv,朗朗,音,漢語（多く音読み）と推定
607,労組,ろうそ,abbr,工会（労働組合）,音,漢語（多く音読み）と推定
608,浪打ち際,なみうちぎわ,noun,浪打处; 海岸边,訓/混合,okuriganaあり → 和語/混合の可能性高
609,浪花節,なにわぶし,noun,浪花调（说唱）,音,漢語（多く音読み）と推定
610,論旨,ろんし,noun,论旨,音,漢語（多く音読み）と推定
611,論集,ろんしゅう,noun,论文集,音,漢語（多く音読み）と推定
612,和文,わぶん,noun,日文（文体）,音,漢語（多く音読み）と推定
613,和洋折衷,わようせっちゅう,noun,和洋折衷,音,漢語（多く音読み）と推定
614,話柄,わへい,noun,话题（口误）,音,漢語（多く音読み）と推定
615,腕力,わんりょく,noun,腕力,音,漢語（多く音読み）と推定
616,暗渠,あんきょ,noun,暗渠,音,漢語（多く音読み）と推定
617,意匠,いしょう,noun,外观设计; 意匠,音,漢語（多く音読み）と推定
618,一挙,いっきょ,adv,一举,音,漢語（多く音読み）と推定
619,一様,いちよう,na-adj,均一; 一样,音,漢語（多く音読み）と推定
620,逸品,いっぴん,noun,精品,音,漢語（多く音読み）と推定
621,引用符,いんようふ,noun,引号,音,漢語（多く音読み）と推定
622,右往左往,うおうさおう,verb-noun,东奔西走,音,漢語（多く音読み）と推定
623,有終の美,ゆうしゅうのび,noun,画上圆满句号,訓/混合,okuriganaあり → 和語/混合の可能性高
624,有形文化財,ゆうけいぶんかざい,noun,有形文化财,音,漢語（多く音読み）と推定
625,優越,ゆうえつ,verb-noun,优越,音,漢語（多く音読み）と推定
626,幽玄,ゆうげん,na-adj,幽玄（美学）,音,漢語（多く音読み）と推定
627,余所余所しい,よそよそしい,na-adj,冷淡; 生分,訓/混合,okuriganaあり → 和語/混合の可能性高
628,抑揚頓挫,よくようとんざ,noun,抑扬顿挫,音,漢語（多く音読み）と推定
629,落差解消,らくさかいしょう,verb-noun,消除差距,音,漢語（多く音読み）と推定
630,利活用,りかつよう,verb-noun,利用活用,音,漢語（多く音読み）と推定
631,利敵,りてき,na-adj,利敌,音,漢語（多く音読み）と推定
632,両義的,りょうぎてき,na-adj,双关; 两义,音,漢語（多く音読み）と推定
633,臨界点,りんかいてん,noun,临界点,音,漢語（多く音読み）と推定
634,臨戦,りんせん,verb-noun,临战,音,漢語（多く音読み）と推定
635,類義語,るいぎご,noun,近义词,音,漢語（多く音読み）と推定
636,累犯,るいはん,noun,累犯,音,漢語（多く音読み）と推定
637,霊園,れいえん,noun,陵园,音,漢語（多く音読み）と推定
638,霊感,れいかん,noun,灵感,音,漢語（多く音読み）と推定
639,冷暖房,れいだんぼう,noun,冷暖空调,音,漢語（多く音読み）と推定
640,冷涼,れいりょう,na-adj,凉爽,音,漢語（多く音読み）と推定
641,労役,ろうえき,noun,劳役,音,漢語（多く音読み）と推定
642,漏電,ろうでん,verb-noun,漏电,音,漢語（多く音読み）と推定
643,浪費家,ろうひか,noun,败家子,音,漢語（多く音読み）と推定
644,炉辺談話,ろへんだんわ,noun,炉边谈话,音,漢語（多く音読み）と推定
645,論語,ろんご,noun,论语,音,漢語（多く音読み）と推定
646,湾曲,わんきょく,verb-noun,弯曲,音,漢語（多く音読み）と推定
647,腕相撲,うでずもう,noun,掰腕子,音,漢語（多く音読み）と推定
648,暗誦,あんしょう,verb-noun,背诵,音,漢語（多く音読み）と推定
649,意固地,いこじ,na-adj,固执,音,漢語（多く音読み）と推定
650,一攫千金,いっかくせんきん,noun,一夜暴富,音,漢語（多く音読み）と推定
651,一喜一憂,いっきいちゆう,verb-noun,喜忧参半,音,漢語（多く音読み）と推定
652,一致団結,いっちだんけつ,verb-noun,团结一致,音,漢語（多く音読み）と推定
653,逸早く,いちはやく,adv,尽快; 尽早,訓/混合,okuriganaあり → 和語/混合の可能性高
654,隠喩,いんゆ, noun,隐喻,音,漢語（多く音読み）と推定
655,右派,うは,noun,右翼,音,漢語（多く音読み）と推定
656,有事,ゆうじ,noun,突发事态,音,漢語（多く音読み）と推定
657,有識,ゆうしき,noun,学识,音,漢語（多く音読み）と推定
658,優先度,ゆうせんど,noun,优先级,音,漢語（多く音読み）と推定
659,余命,よめい,noun,余命,音,漢語（多く音読み）と推定
660,抑制的,よくせいてき,na-adj,抑制的,音,漢語（多く音読み）と推定
661,落書き,らくがき,noun,涂鸦,訓/混合,okuriganaあり → 和語/混合の可能性高
662,濫造,らんぞう,verb-noun,滥造,音,漢語（多く音読み）と推定
663,履行,りこう,verb-noun,履行,音,漢語（多く音読み）と推定
664,利回り,りまわり,noun,收益率,訓/混合,okuriganaあり → 和語/混合の可能性高
665,良質,りょうしつ,na-adj,优质,音,漢語（多く音読み）と推定
666,臨終,りんじゅう,noun,临终,音,漢語（多く音読み）と推定
667,類推的,るいすいてき,na-adj,类推的,音,漢語（多く音読み）と推定
668,霊長類,れいちょうるい,noun,灵长类,音,漢語（多く音読み）と推定
669,零細企業,れいさいきぎょう,noun,微型企业,音,漢語（多く音読み）と推定
670,労災保険,ろうさいほけん,noun,工伤保险,音,漢語（多く音読み）と推定
671,老舗,しにせ,noun,老字号,音,漢語（多く音読み）と推定
672,漏水,ろうすい,verb-noun,漏水,音,漢語（多く音読み）と推定
673,浪曲,ろうきょく,noun,浪曲,音,漢語（多く音読み）と推定
674,論法,ろんぽう,noun,论法,音,漢語（多く音読み）と推定
675,和訳,わやく,verb-noun,日译,音,漢語（多く音読み）と推定
676,腕章,わんしょう,noun,袖章,音,漢語（多く音読み）と推定
677,案外,あんがい,na-adj,出乎意料,音,漢語（多く音読み）と推定
678,暗号化,あんごうか,verb-noun,加密,音,漢語（多く音読み）と推定
679,意外性,いがいせい,noun,意外性,音,漢語（多く音読み）と推定
680,一帯,いったい,noun,一带,音,漢語（多く音読み）と推定
681,一括,いっかつ,verb-noun,一并; 打包,音,漢語（多く音読み）と推定
682,逸失利益,いっしつりえき,noun,预期利益损失,音,漢語（多く音読み）と推定
683,隠語,いんご,noun,切口; 黑话,音,漢語（多く音読み）と推定
684,右記,うき,noun,右记,音,漢語（多く音読み）と推定
685,有価証券,ゆうかしょうけん,noun,有价证券,音,漢語（多く音読み）と推定
686,優良,ゆうりょう,na-adj,优良,音,漢語（多く音読み）と推定
687,優位性,ゆういせい,noun,优势性,音,漢語（多く音読み）と推定
688,余剰人員,よじょうじんいん,noun,冗员,音,漢語（多く音読み）と推定
689,予後,よご,noun,预后,音,漢語（多く音読み）と推定
690,抑止力,よくしりょく,noun,威慑力,音,漢語（多く音読み）と推定
691,落雷,らくらい,verb-noun,雷击,音,漢語（多く音読み）と推定
692,濫伐,らんばつ,verb-noun,滥伐,音,漢語（多く音読み）と推定
693,履歴,りれき,noun,履历,音,漢語（多く音読み）と推定
694,利潤率,りじゅんりつ,noun,利润率,音,漢語（多く音読み）と推定
695,良好,りょうこう,na-adj,良好,音,漢語（多く音読み）と推定
696,臨海,りんかい,na-adj,临海,音,漢語（多く音読み）と推定
697,類似,るいじ,na-adj,类似,音,漢語（多く音読み）と推定
698,霊能者,れいのうしゃ,noun,灵能者,音,漢語（多く音読み）と推定
699,零度,れいど,noun,零度,音,漢語（多く音読み）と推定
700,労苦,ろうく,noun,劳苦,音,漢語（多く音読み）と推定
